id,tipologia,operacion,direccion,barrio,ambientes,dormitorios,descripcion,apto_banco,precio,cod_zp,cod_lvi,link_interno,requisitos,imagen
66,departamento,alquiler,Caseros 386 Piso 5 Dpto D,Centro,3,2,,0,360000,57567588,5565933,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
68,departamento,alquiler,Caseros 651 Piso 5 Dpto. G,Centro,3,2,,0,421000,57567590,5565935,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
70,departamento,alquiler,La Rioja 2687 PB Dpto. 2,Alberdi,3,2,,0,405000,57567592,5565937,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
71,casa,alquiler,Manuel Escorza 3738,Jose Ignacio Diaz 4ta,4,3,,0,538000,57567593,5565938,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
72,casa,alquiler,Augusto Vandor 4028 Casa 31,Rucci,4,3,,0,736000,57567594,5565939,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
73,casa,alquiler,Augusto Vandor 4028 Casa 29,Rucci,4,3,,0,535000,57567595,5565940,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
74,casa,alquiler,Pablo Mirizzi  951 PH 1,Parque Velez Sarsfield,7,4,,0,984000,57567596,5565941,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
75,casa,alquiler,Luis de Tejeda 158,Villa Allende,5,3,,0,842000,57567597,5565942,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
77,departamento,alquiler,Beccar Varela 638 PB Dpto. 3  Block D,Ipona,3,2,,0,394000,57567599,5565944,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
78,casa,alquiler,Gonzalez Albarracin 3953,Ameghino Norte,4,3,"¡No te lo pierdas! Ideal para vivir cómodo, bien ubicado y con todo al alcance de la mano ",0,526000,57567600,5487699,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
79,casa,alquiler,Pasaje San Pedro 2391 (Casa),Colon,3,2,,0,559000,57567601,5565946,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
80,departamento,alquiler,Caseros 1061 Piso 2 Dpto B,Alberdi,2,1,,0,282000,57567602,5565947,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
83,departamento,alquiler,Olmos 20 Piso 9  Dpto. B,Centro,1,1,,0,237000,57567605,5565950,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
84,casa,alquiler,Suecia 2909,Parque Velez Sarsfield,3,2,,0,460000,57567606,5565951,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
85,local,alquiler,Celso Barrios 2455 Local 7,San Carlos,,,,0,423000,57567607,5565952,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
86,departamento,alquiler,Dean Funes 681 Piso 1º Dpto G,Alberdi,3,2,,0,428000,57567608,5565953,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
87,casa,alquiler,Eduardo Wilde 4788,Liceo 1ra,5,3,,0,904000,57567609,5565954,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
89,departamento,alquiler,Dorrego 1363 Dpto.1,Juniors,2,1,,0,311000,57567611,5565956,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
90,departamento,alquiler,Dorrego 1363 Dpto 6,Juniors,3,2,,0,344000,57567612,5565957,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
91,departamento,alquiler,Dorrego 1363 Dpto 4,Juniors,6,3,"✨ SALOMÓN INMOBILIARIA te presenta una excelente oportunidad de alquiler 🏡 en Barrio Juniors

📍 Ubicación: Calle Dorrego 1363, a metros de Av. General Paz y a solo 4 cuadras de Plaza Alberdi 🌳

🏠 Características del departamento:

🔹 Planta alta al frente
🔹 Living-comedor amplio y luminoso 🛋️
🔹 Cocina separada 🍽️
🔹 3 dormitorios espaciosos 🛏️
🔹 Balcón a la calle 🌇
🔹 Excelente iluminación natural ☀️

💰 Condiciones:

💲 Precio: $580.000
📈 Ajuste trimestral según IPC
🏢 Expensas: $35.000
🧾 Impuestos bajos

📲 Consultá requisitos y coordiná tu visita por WhatsApp
⚡ ¡No dejes pasar esta oportunidad! Tu próximo hogar te está esperando 🏡💫",0,580000,58690600,5565958,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,"Requisitos: 
Opción 1) Una garantía propietaria + 1 recibo de sueldo superior a un millón de pesos . 
Opcion 2) 4 recibos de sueldo superiores a un millón de pesos. Pueden ser 3 recibos de sueldo dependiendo los montos. 
No se aceptan garantías compradas ni monotributos. Pero si se aceptan jubilaciones.",
92,departamento,alquiler,Dorrego 1363 Dpto. 5,Juniors,3,2,,0,352000,57567614,5565959,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
93,departamento,alquiler,Dean Funes 681 Piso 1º Dpto C,Alberdi,3,2,,0,426000,57567615,5565960,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
94,departamento,alquiler,Dorrego 1363 PB Dpto 3,Juniors,2,1,,0,315000,57567616,5565961,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
95,departamento,alquiler,24 de Setiembre 819 Piso 1 Dpto. A,General Paz,4,3,,0,480000,57567617,5565962,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
96,casa,alquiler,Huascha 3074,San Pablo,5,3,,0,627000,57567618,5565963,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
98,casa,venta,Pablo Mirizzi 951 PH 2,Parque Velez Sarsfield,5,3,,1,93000,57567620,5565965,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
99,departamento,alquiler,Poeta Lugones 24 Piso 1º Dpto F,Nueva Cordoba,4,3,,0,408000,57567621,5565966,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
100,departamento,alquiler,San Jerónimo 3060 Planta Alta,San Vicente,2,1,,0,337000,57567622,5565967,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
101,departamento,alquiler,La Rioja 2128 Dpto 4,Alberdi,3,2,,0,384000,57567623,5565968,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
102,departamento,alquiler,Paraná 656 Piso 11,Nueva Cordoba,2,1,,0,268000,57567624,5565969,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
105,oficina,alquiler,"Centro, Córdoba",Centro,4,,¡Tu espacio ideal en pleno centro! Salomón Inmobiliaria te ofrece en alquiler una oficina perfecta para desarrollar tu emprendimiento o em...Centro,1,280000,58857464,,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,,
108,casa,alquiler,Azul 2936,Jose Hernandez,3,2,,0,433000,57567630,5565975,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
109,departamento,alquiler,9 de Julio 1506 Piso 2 Dpto C,Alberdi,2,1,,0,282000,57567631,5565976,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
110,departamento,alquiler,24 de Setiembre 819 Piso 3 Dpto. A,General Paz,2,1,,0,311000,57567632,5565977,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
111,departamento,alquiler,San José de Calasanz 381,Paso de los Andes,4,1,"¡Oportunidad en Barrio Alberdi! Departamento en alquiler Salomón Inmobiliaria te presenta este cómodo y luminoso depto en planta baja, ubi...Paso de los Andes",1,470000,58745905,,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,,
112,casa,alquiler,Húsares 2036,Crisol Norte,3,2,,0,504000,57567634,5565979,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
113,departamento,alquiler,Colombres 2355 Piso 1º Dpto 5,San Martin,5,4,,0,609000,57567635,5565980,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
114,casa,alquiler,Naciones Unidas 843,Parque Velez Sarsfield,8,4,,0,1250000,57567636,5565981,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
117,departamento,alquiler,Purmamarca 1137 Dpto 1,Villa El Libertador,2,1,,0,341000,57567639,5565984,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
119,departamento,alquiler,Purmamarca 1137 Dpto 2,Villa El Libertador,2,1,,0,271000,57567641,5565986,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
120,casa,alquiler,Lamartine 2016,Colinas V. Sarsfield,4,3,,0,569000,57567642,5565987,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
121,departamento,alquiler,Suarez de Figueroa 392 Dto.1,Marques de Sobremonte,3,2,,0,340000,57567643,5565988,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
122,departamento,alquiler,Tambo Nuevo 185 Piso 2 Dpto D Torre C,San Martin,3,2,,0,417000,57567644,5565989,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
123,casa,venta,Francisco Paula Rivero 91,Residencial Los robles,7,4,,0,116000,57567645,5565990,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
124,departamento,alquiler,Francisco N de Laprida 66,Nueva Córdoba,4,1,"SALOMÓN INMOBILIARIA te ofrece en alquiler un excelente departamento en Nueva Córdoba, una de las zonas más buscadas de la ciudad Ubicació...Nueva Córdoba",1,580000,58691934,,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,,
125,departamento,alquiler,Colon 767 Piso 9º Dpto D,Centro,3,2,,0,406000,57567647,5565992,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
126,departamento,alquiler,Independencia 1120  PB Dpto B,Nueva Cordoba,3,2,,0,409000,57567648,5565993,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
127,departamento,alquiler,Chubut 20 Piso 1º Dpto 80,Alberdi,2,1,,0,260000,57567649,5565994,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
128,departamento,alquiler,Pje. San Agustin 389 Piso 2 Dpto.5,Alberdi,2,1,,0,286000,57567650,5565995,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
130,casa,venta,Francisco Gurruchaga 1139,Residencial Oeste,2,1,,0,27000,57567652,5565997,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
131,departamento,alquiler,Luis María Drago 490 Dpto 2,San Fernando,2,1,,0,311000,57567653,5565998,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
132,departamento,alquiler,Luis María Drago 488 Dpto 1,San Fernando,3,2,,0,390000,57567654,5565999,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
133,departamento,alquiler,Zapiola 295 Piso 2º Dpto. C,San Martin,3,2,,0,411000,57567655,5566000,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
134,departamento,alquiler,Los Granaderos 2185 Dpto 2,San Martin,2,1,,0,344000,57567656,5566001,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
135,departamento,alquiler,Soldado Ruiz 1030 Piso 1 Dpto 6,San Martin,4,3,,0,424000,57567657,5566002,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
136,casa,venta,Pedro de Olmedo 1099,Marques de Sobremonte,4,3,,1,59000,57567658,5566003,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
137,casa,venta,Armenia 2050 Dpto 4,Pueyrredon,7,4,,1,117000,57567659,5566004,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
138,departamento,alquiler,Ramon Mestre 2330 Dpto 5,Bajo Galan,4,3,,0,493000,57567660,5566005,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
139,local,alquiler,Julio Argentino Roca 331,Guemes,,,,0,604000,57567661,5566006,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
140,departamento,alquiler,Mariano Fragueiro 1455 Dpto 11,Alta Cordoba,2,1,,0,341000,57567662,5566007,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
141,casa,venta,Ministalalo 1410,Talleres Oeste,6,4,,0,98000,57567663,5566008,https://www.salomoninmo.com.ar/base.php?q=buscar&operacion=0,LINK A REQUISITOS PARA ALQUILAR,
